concert_id;opener_ar1;opener_ar2;city;date;tick_sales;is_mashup_1;surp_1;album_1;is_mashup_2;surp_2;album_2;cancel;cancel_cause;wkt_geom;place;x;y
134;;;London;20.08.2024;90000    ;true;Death by a Thousand Cuts / Getaway Car ;Lover / Reputation;false;So Long, London;The Tortured Poets Departament;false;;Point (-0.27957565614899915 51.55600589490420305);Wembley Stadium;-0.28;51.556
135;Gracie Abrams;;Miami;18.10.2024;65000    ;true;Tim McGraw / Timeless;Taylor Swift (debut) / Speak Now;true;This Is Me Trying / Daylight;folklore / Lover;false;;Point (-80.23886586283379074 25.95793801609755036);Hard Rock Stadium;-80.239;25.958
136;Gracie Abrams;;Miami;19.10.2024;65000    ;true;Should've Said No / I Did Something Bad;Taylor Swift (debut) / Reputation;true;Loml / White Horse;The Tortured Poets Departament / Fearless;false;;Point (-80.23886586283379074 25.95793801609755036);Hard Rock Stadium;-80.239;25.958
137;Gracie Abrams;;Miami;20.10.2024;65000    ;true;Out of the Woods / All You Had to Do Was Stay;1989 / 1989;true;Mirrorball / Guilty as Sin?;folklore / The Tortured Poets Departament;false;;Point (-80.23886586283379074 25.95793801609755036);Hard Rock Stadium;-80.239;25.958
138;Gracie Abrams;;New Orleans;25.10.2024;83000    ;true;Our Song / Call It What You Want;Taylor Swift (debut) / Reputation;true;The Black Dog / Haunted;The Tortured Poets Departament / Speak Now;false;;Point (-90.08111810227710237 29.9510198343939571);The Super-dome;-90.081;29.951
139;Gracie Abrams;;New Orleans;26.10.2024;83000    ;true;Espresso / Is It Over Now? / Please Please Please;Other / 1989 / Other;true;Hits Different / Welcome to New York;Midnights / 1989;false;;Point (-90.08111810227710237 29.9510198343939571);The Super-dome;-90.081;29.951
140;Gracie Abrams;;New Orleans;27.10.2024;83000    ;true;Afterglow / Dress;Lover / Reputation;true;How You Get the Girl / Clean;1989 / 1989;false;;Point (-90.08111810227710237 29.9510198343939571);The Super-dome;-90.081;29.951
141;Gracie Abrams;;Indianapolis;01.11.2024;70000    ;true;The Albatross / Holy Ground;The Tortured Poets Departament / Red;true;Cold as You / Exile;Taylor Swift (debut) / folklore;false;;Point (-86.16379499663575814 39.75999746663335088);Lucas Oil Stadium;-86.164;39.76
142;Gracie Abrams;;Indianapolis;02.11.2024;70000    ;true;The Prophecy / This Love;The Tortured Poets Departament / 1989;true;Maroon / Cowboy like Me;Midnights / evermore;false;;Point (-86.16379499663575814 39.75999746663335088);Lucas Oil Stadium;-86.164;39.76
143;Gracie Abrams;;Indianapolis;03.11.2024;70000    ;true;Cornelia Street / The Bolter;Lover / The Tortured Poets Departament;true;Death by a Thousand Cuts / The Great War;Lover / Midnights;false;;Point (-86.16379499663575814 39.75999746663335088);Lucas Oil Stadium;-86.164;39.76
144;Gracie Abrams;;Toronto;14.11.2024;50000    ;true;My Boy Only Breaks His Favorite Toys / This Is Why We Can't Have Nice Things;The Tortured Poets Departament / Reputation;true;False God / 'Tis the Damn Season;Lover / evermore;false;;Point (-79.38920717376609559 43.64156942451896981);Rogers Centre;-79.389;43.642
145;Gracie Abrams;;Toronto;15.11.2024;50000    ;true;I Don't Wanna Live Forever / Mine;Other / Speak Now;true;Evermore / Peter;evermore / The Tortured Poets Departament;false;;Point (-79.38920717376609559 43.64156942451896981);Rogers Centre;-79.389;43.642
146;Gracie Abrams;;Toronto;16.11.2024;50000    ;true;Us / Out of the Woods;Other / 1989;true;You're on Your Own, Kid / Long Story Short;Midnights / evermore;false;;Point (-79.38920717376609559 43.64156942451896981);Rogers Centre;-79.389;43.642
147;Gracie Abrams;;Toronto;21.11.2024;50000    ;true;Mr. Perfectly Fine / Better than Revenge;Fearless / Speak Now;true;State of Grace / Labyrinth;Red / Midnights;false;;Point (-79.38920717376609559 43.64156942451896981);Rogers Centre;-79.389;43.642
148;Gracie Abrams;;Toronto;22.11.2024;50000    ;true;Ours / The Last Great American Dynasty;Speak Now / folklore;true;Cassandra / Mad Woman / I Did Something Bad;The Tortured Poets Departament / folklore / Reputation;false;;Point (-79.38920717376609559 43.64156942451896981);Rogers Centre;-79.389;43.642
149;Gracie Abrams;;Toronto;23.11.2024;50000    ;true;Sparks Fly / Message in a Bottle;Speak Now / Red;true;You're Losing Me / How Did It End?;Midnights / The Tortured Poets Departament;false;;Point (-79.38920717376609559 43.64156942451896981);Rogers Centre;-79.389;43.642
150;Gracie Abrams;;Vancouver;06.12.2024;55000    ;true;Haunted / Wonderland;Speak Now / 1989;true;Never Grow Up / The Best Day;Speak Now / Red;false;;Point (-123.11205967069041378 49.27663619014433749);BC Place;-123.112;49.277
151;Gracie Abrams;;Vancouver;07.12.2024;55000    ;true;I Love You, I'm Sorry / Last Kiss;Other / Speak Now;true;The Tortured Poets Department / Maroon;The Tortured Poets Departament / Midnights;false;;Point (-123.11205967069041378 49.27663619014433749);BC Place;-123.112;49.277
152;Gracie Abrams;;Vancouver;08.12.2024;55000    ;true;A Place in This World / New Romantics;Taylor Swift (debut) / 1989;true;Long Live / New Year's Day / The Manuscript;Speak Now / Reputation / The Tortured Poets Departament;false;;Point (-123.11205967069041378 49.27663619014433749);BC Place;-123.112;49.277
